Dataset	N	Susceptible	Intermediate	Resistant	Prediction	%R	Categorical agreement	Categorical_agreement_conf_int_lower_bound	Categorical_agreement_conf_int_upper_bound	ME	ME_conf_int_lower_bound	ME_conf_int_upper_bound	VME	VME_conf_int_lower_bound	VME_conf_int_upper_bound	Sensitivity	Sensitivity_conf_int_lower_bound	Sensitivity_conf_int_upper_bound	Specificity	Specificity_conf_int_lower_bound	Specificity_conf_int_upper_bound	Minor error	Minor_error_conf_int_lower_bound	Minor_error_conf_int_upper_bound
A (EUCAST)	2133	291	155	1687	R	79.09%	96.95%	96.22%	97.68%	3.59%	1.86%	5.31%	2.9%	2.1%	3.71%	97.1%	96.29%	97.9%	96.41%	94.69%	98.14%	7.64%	6.51%	8.77%
A (EUCAST)	2133	291	155	1687	NWT	86.36%	91.37%	90.18%	92.57%	1.37%	0.04%	2.71%	9.77%	8.42%	11.13%	90.23%	88.87%	91.58%	98.63%	97.29%	99.96%	7.64%	6.51%	8.77%
G (CLSI)	834	222	163	449	R	53.84%	78.54%	75.75%	81.32%	40.52%	35.62%	45.42%	5.12%	3.08%	7.16%	94.88%	92.84%	96.92%	59.48%	54.58%	64.38%	19.54%	16.85%	22.24%
G (CLSI)	834	222	163	449	NWT	73.38%	94.48%	92.94%	96.03%	10.36%	6.35%	14.37%	3.76%	2.25%	5.26%	96.24%	94.74%	97.75%	89.64%	85.63%	93.65%	19.54%	16.85%	22.24%
B (EUCAST)	536	84	11	441	R	82.28%	93.84%	91.81%	95.88%	26.32%	17.46%	35.17%	1.81%	0.57%	3.06%	98.19%	96.94%	99.43%	73.68%	64.83%	82.54%	2.61%	1.26%	3.96%
B (EUCAST)	536	84	11	441	NWT	84.33%	95.71%	93.99%	97.42%	21.43%	12.65%	30.2%	1.11%	0.14%	2.07%	98.89%	97.93%	99.86%	78.57%	69.8%	87.35%	2.61%	1.26%	3.96%
C (EUCAST)	485	168	62	255	R	52.58%	82.27%	78.87%	85.67%	22.61%	17.2%	28.01%	13.33%	9.16%	17.51%	86.67%	82.49%	90.84%	77.39%	71.99%	82.8%	12.78%	9.81%	15.76%
C (EUCAST)	485	168	62	255	NWT	65.36%	87.22%	84.24%	90.19%	13.69%	8.49%	18.89%	12.3%	8.69%	15.92%	87.7%	84.08%	91.31%	86.31%	81.11%	91.51%	12.78%	9.81%	15.76%
D (EUCAST)	295	242	16	37	R	12.54%	95.25%	92.83%	97.68%	2.33%	0.49%	4.16%	21.62%	8.36%	34.89%	78.38%	65.11%	91.64%	97.67%	95.84%	99.51%	5.42%	2.84%	8.01%
D (EUCAST)	295	242	16	37	NWT	17.97%	94.58%	91.99%	97.16%	1.24%	-0.15%	2.63%	24.53%	12.94%	36.11%	75.47%	63.89%	87.06%	98.76%	97.37%	100.15%	5.42%	2.84%	8.01%
IZSAM	283	7	3	273	R	96.47%	97.88%	96.2%	99.56%	30%	1.6%	58.4%	1.1%	-0.14%	2.34%	98.9%	97.66%	100.14%	70%	41.6%	98.4%	1.06%	-0.13%	2.25%
IZSAM	283	7	3	273	NWT	97.53%	98.23%	96.7%	99.77%	14.29%	-11.64%	40.21%	1.45%	0.04%	2.86%	98.55%	97.14%	99.96%	85.71%	59.79%	111.64%	1.06%	-0.13%	2.25%
H (CLSI)	251	109	14	128	R	51%	72.91%	67.41%	78.41%	44.72%	35.93%	53.5%	10.16%	4.92%	15.39%	89.84%	84.61%	95.08%	55.28%	46.5%	64.07%	7.97%	4.62%	11.32%
H (CLSI)	251	109	14	128	NWT	56.57%	76.89%	71.68%	82.11%	47.71%	38.33%	57.08%	4.23%	0.92%	7.53%	95.77%	92.47%	99.08%	52.29%	42.92%	61.67%	7.97%	4.62%	11.32%
I (CLSI)	212	18	41	153	R	72.17%	90.09%	86.07%	94.12%	25.42%	14.31%	36.53%	3.92%	0.85%	7%	96.08%	93%	99.15%	74.58%	63.47%	85.69%	20.28%	14.87%	25.7%
I (CLSI)	212	18	41	153	NWT	91.51%	82.08%	76.91%	87.24%	33.33%	11.56%	55.11%	16.49%	11.27%	21.72%	83.51%	78.28%	88.73%	66.67%	44.89%	88.44%	20.28%	14.87%	25.7%
IRCCS Ospedale San Raffaele	198	9	2	187	R	94.44%	98.48%	96.78%	100.19%	18.18%	-4.61%	40.97%	0.53%	-0.51%	1.58%	99.47%	98.42%	100.51%	81.82%	59.03%	104.61%	1.01%	-0.38%	2.4%
IRCCS Ospedale San Raffaele	198	9	2	187	NWT	95.45%	98.48%	96.78%	100.19%	11.11%	-9.42%	31.64%	1.06%	-0.4%	2.52%	98.94%	97.48%	100.4%	88.89%	68.36%	109.42%	1.01%	-0.38%	2.4%
E (EUCAST)	173	20	7	146	R	84.39%	82.08%	76.37%	87.8%	59.26%	40.73%	77.79%	10.27%	5.35%	15.2%	89.73%	84.8%	94.65%	40.74%	22.21%	59.27%	6.36%	2.72%	9.99%
E (EUCAST)	173	20	7	146	NWT	88.44%	84.97%	79.65%	90.3%	60%	38.53%	81.47%	9.15%	4.58%	13.72%	90.85%	86.28%	95.42%	40%	18.53%	61.47%	6.36%	2.72%	9.99%
F (EUCAST)	148	11	1	136	R	91.89%	97.3%	94.68%	99.91%	8.33%	-7.3%	23.97%	2.21%	-0.26%	4.67%	97.79%	95.33%	100.26%	91.67%	76.03%	107.3%	1.35%	-0.51%	3.21%
F (EUCAST)	148	11	1	136	NWT	92.57%	97.3%	94.68%	99.91%	9.09%	-7.9%	26.08%	2.19%	-0.26%	4.64%	97.81%	95.36%	100.26%	90.91%	73.92%	107.9%	1.35%	-0.51%	3.21%
MBIRA (Kvv, CLSI)	90	85	0	5	R	5.56%	95.56%	91.3%	99.81%	0%	0%	0%	80%	44.94%	115.06%	20%	-15.06%	55.06%	100%	100%	100%	0%	0%	0%
MBIRA (Kvv, CLSI)	90	85	0	5	NWT	5.56%	95.56%	91.3%	99.81%	0%	0%	0%	80%	44.94%	115.06%	20%	-15.06%	55.06%	100%	100%	100%	0%	0%	0%
Oxfordshire (Kvv, EUCAST)	66	64	2	0	R	0%	98.48%	95.54%	101.43%	1.52%	-1.43%	4.46%	-	-	-	-	-	-	98.48%	95.54%	101.43%	3.03%	-1.11%	7.17%
Oxfordshire (Kvv, EUCAST)	66	64	2	0	NWT	3.03%	95.45%	90.43%	100.48%	1.56%	-1.48%	4.6%	100%	100%	100%	0%	0%	0%	98.44%	95.4%	101.48%	3.03%	-1.11%	7.17%
SCHARKI	56	51	3	2	R	3.57%	94.64%	88.75%	100.54%	5.56%	-0.55%	11.67%	0%	0%	0%	100%	100%	100%	94.44%	88.33%	100.55%	5.36%	-0.54%	11.25%
SCHARKI	56	51	3	2	NWT	8.93%	92.86%	86.11%	99.6%	3.92%	-1.41%	9.25%	40%	-2.94%	82.94%	60%	17.06%	102.94%	96.08%	90.75%	101.41%	5.36%	-0.54%	11.25%
EUSCAPE & EURECA (Kvv, EUCAST)	41	35	3	3	R	7.32%	100%	100%	100%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	7.32%	-0.65%	15.29%
EUSCAPE & EURECA (Kvv, EUCAST)	41	35	3	3	NWT	14.63%	92.68%	84.71%	100.65%	0%	0%	0%	50%	9.99%	90.01%	50%	9.99%	90.01%	100%	100%	100%	7.32%	-0.65%	15.29%
PachecoBrazil	38	10	0	28	R	73.68%	100%	100%	100%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	0%	0%	0%
PachecoBrazil	38	10	0	28	NWT	73.68%	100%	100%	100%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	0%	0%	0%
HarrisMERINO	36	7	8	21	R	58.33%	83.33%	71.16%	95.51%	13.33%	-3.87%	30.54%	19.05%	2.25%	35.84%	80.95%	64.16%	97.75%	86.67%	69.46%	103.87%	16.67%	4.49%	28.84%
HarrisMERINO	36	7	8	21	NWT	80.56%	94.44%	86.96%	101.93%	0%	0%	0%	6.9%	-2.33%	16.12%	93.1%	83.88%	102.33%	100%	100%	100%	16.67%	4.49%	28.84%
J* (EUCAST/BSAC)	737	196	130	411	R	55.77%	86.16%	83.67%	88.65%	4.6%	2.33%	6.88%	21.17%	17.22%	25.12%	78.83%	74.88%	82.78%	95.4%	93.12%	97.67%	21.17%	18.22%	24.12%
J* (EUCAST/BSAC)	737	196	130	411	NWT	73.41%	76.39%	73.32%	79.46%	2.04%	0.06%	4.02%	31.42%	27.51%	35.34%	68.58%	64.66%	72.49%	97.96%	95.98%	99.94%	21.17%	18.22%	24.12%
K* (EUCAST)	236	62	28	146	R	61.86%	77.12%	71.76%	82.48%	32.22%	22.57%	41.88%	17.12%	11.01%	23.23%	82.88%	76.77%	88.99%	67.78%	58.12%	77.43%	12.29%	8.1%	16.48%
K* (EUCAST)	236	62	28	146	NWT	73.73%	84.32%	79.68%	88.96%	24.19%	13.53%	34.85%	12.64%	7.71%	17.58%	87.36%	82.42%	92.29%	75.81%	65.15%	86.47%	12.29%	8.1%	16.48%
M* (EUCAST)	72	11	8	53	R	73.61%	91.67%	85.28%	98.05%	31.58%	10.68%	52.48%	0%	0%	0%	100%	100%	100%	68.42%	47.52%	89.32%	9.72%	2.88%	16.57%
M* (EUCAST)	72	11	8	53	NWT	84.72%	93.06%	87.18%	98.93%	18.18%	-4.61%	40.97%	4.92%	-0.51%	10.34%	95.08%	89.66%	100.51%	81.82%	59.03%	104.61%	9.72%	2.88%	16.57%
