response	Model	Determinant	est	ci.lower	ci.upper	pval
R	2a	(Intercept)	-3.419157042638506	-3.5619383173556183	-3.282003922478966	0
R	2a	QRDR_mutations	3.360481903295539	3.1802430460228788	3.55522264090273	0
R	2a	acquired_genes	4.1394510311324035	3.94696293648254	4.335933865917721	0
R	2a	aac6	1.972939956662687	1.7251503259438414	2.224183883543388	0
R	2b	(Intercept)	-3.4599142020978153	-3.611938475506754	-3.314607578362215	0
R	2b	QRDR_mutations	3.5000821368534654	3.2990642202172693	3.718747982843345	0
R	2b	aac6	2.255057536503676	1.8613427957578244	2.6314518036333663	0
R	2b	acquired_genes	4.17343386674254	3.9607586640151777	4.390897260047466	0
R	2b	QRDR_mutations:aac6	-1.2448815270058597	-1.6508249566248494	-0.7845522847037644	2.9591790448035837e-6
R	2b	aac6:acquired_genes	-0.24721201270325435	-0.7362814871743948	0.25967996792614917	0.33440771816518944
NWT	2a	(Intercept)	-2.228623281949529	-2.3158963986269088	-2.1432981384219647	0
NWT	2a	QRDR_mutations	2.907471031436581	2.7256444955130052	3.107814106665994	0
NWT	2a	acquired_genes	4.320510087866978	4.099048210784262	4.551931086881153	0
NWT	2a	aac6	1.4828361237991547	1.2108772856760748	1.7549376755923292	0
NWT	2b	(Intercept)	-2.2531037548701818	-2.342398775884757	-2.1658912660360574	0
NWT	2b	QRDR_mutations	3.0320570092915435	2.8282869210220123	3.258647374368678	0
NWT	2b	aac6	1.8046731841380588	1.4787078458306935	2.124434301652072	0
NWT	2b	acquired_genes	4.4280459330833155	4.1766838585141395	4.693570219261372	0
NWT	2b	QRDR_mutations:aac6	-1.0540903883174813	-1.4621401231033286	-0.5854844134413991	7.456646917813892e-5
NWT	2b	aac6:acquired_genes	-0.6290063824350711	-1.166066195975713	-0.07208742379614631	0.027282348591645245
