Determinant,N,S,I,R,NWT,PPV (R),PPV (NWT)
aac(6')-Ib-cr,160,105,26,29,55,18.13%,34.38%
GyrA-83F,37,0,8,29,37,78.38%,100%
GyrA-83I,2,0,0,2,2,100%,100%
GyrA-83L,7,0,0,7,7,100%,100%
GyrA-83Y,35,2,7,26,33,74.29%,94.29%
GyrA-87G,8,5,0,3,3,37.5%,37.5%
GyrA-87H,1,1,0,0,0,0%,0%
GyrA-87N,16,0,4,12,16,75%,100%
GyrA-87Y,6,0,2,4,6,66.67%,100%
qepA2*,1,0,0,1,1,100%,100%
qnrA1,18,1,1,16,17,88.89%,94.44%
qnrB1.v1,12,5,2,5,7,41.67%,58.33%
qnrB1.v2,148,26,58,64,122,43.24%,82.43%
qnrB17,24,0,0,24,24,100%,100%
qnrB19,9,2,2,5,7,55.56%,77.78%
qnrB2.v1,11,2,2,7,9,63.64%,81.82%
qnrB2.v2,1,0,0,1,1,100%,100%
qnrB4,29,3,7,19,26,65.52%,89.66%
qnrB6,31,0,0,31,31,100%,100%
qnrB7,1,0,0,1,1,100%,100%
qnrS1,418,20,82,316,398,75.6%,95.22%
qnrS1?,1,0,0,1,1,100%,100%
qnrS2,1,0,0,1,1,100%,100%
